,Happiness,Future,Hardwork,FWBscore,FSscore,FKscore,KHscore,Financial knowledge,Reliable,Self-commitment,Financial Goals,Goal confidence,Planning,Management,Expenses difficulty,Savings habit,Retirement savings,Non-retirement savings,Housing,Monthly payment,Home value,Remaining mortgage,Housing satisfaction,Savings amount,Smart investing,Poor investing,Number of earners,Income volatility,Material hardship,Benefits,Life shocks,Parents education,Finance taught,Materialism,Health,Stress,Probability of 75 years,Financial planning horizon,Household education,Education,Kids 0-7,Kids 7-12,Kids 13-17,Kids 18+,Self-employed,Full-time,Part-time,Homemaker,Student,Unable to work,Unemployed,Retired,Other employment,Military status,Age,Race,Female,House size,Marital status,Metro area,Percent of poverty line,Region,Poor county,Above med income
27,6,5,5,62,48,0.6666666666666666,0.7777777777777778,5,4,3,0,3,2.75,4.75,1,4,0,1,I own my home,Prefer not to say,"$150,000-249,999",1,4,6,0,1,2,2,0,1,1,High school degree/GED,2,3.0,3,3,100,2,High school degree/GED,High school degree/GED,0,0,0,0,0,0,0,1,0,0,0,0,0,Neither Active nor Veteran,75+,White - Non-Hispanic,1,2,Married,1,200%+ FPL,East-North Central,0,1
28,4,3,3,40,31,0.6666666666666666,0.4444444444444444,2,3,3,0,3,3.25,3.25,2,4,0,0,I do not currently own or rent,Less than $300,Doesn't apply,-2,3,99,1,1,1,3,1,0,1,High school degree/GED,0,1.6666666666666667,3,3,50,4,High school degree/GED,High school degree/GED,0,0,0,0,0,0,0,0,0,0,1,0,0,Neither Active nor Veteran,35-44,White - Non-Hispanic,0,2,Never married,0,<100% FPL,Mid-Atlantic,0,0
29,4,3,4,33,35,1.0,0.6666666666666666,2,4,2,1,2,4.25,3.5,2,3,0,0,I own my home,Prefer not to say,"Less than $150,000",99,3,1,0,1,1,1,0,0,3,High school degree/GED,1,2.6666666666666665,2,3,5,1,High school degree/GED,High school degree/GED,0,0,1,1,1,0,0,0,0,0,0,0,0,Neither Active nor Veteran,35-44,White - Non-Hispanic,0,4,Married,1,<100% FPL,South Atlantic,0,0
30,5,7,7,45,42,1.0,0.7777777777777778,5,5,2,1,3,3.5,3.75,2,2,1,0,I rent,"$1,000-1,499",Doesn't apply,-2,3,4,0,1,2,1,0,4,0,High school degree/GED,0,4.0,4,4,80,4,Graduate/professional degree,Some college/Associate,0,0,0,0,0,1,0,0,0,0,0,0,0,Neither Active nor Veteran,25-34,White - Non-Hispanic,0,2,Living with partner,1,200%+ FPL,South Atlantic,1,1
31,4,3,7,33,37,0.3333333333333333,0.3333333333333333,4,2,2,1,2,3.0,1.25,2,2,0,0,I rent,Less than $300,Doesn't apply,-2,3,1,1,0,1,1,2,1,1,High school degree/GED,4,3.3333333333333335,4,5,100,1,High school degree/GED,High school degree/GED,2,1,0,0,0,0,1,0,0,0,0,0,0,Neither Active nor Veteran,25-34,Black - Non-Hispanic,1,4,Never married,1,100%-199% FPL,East-North Central,1,0
32,5,7,6,54,51,1.0,0.5555555555555556,5,3,4,1,3,3.5,4.25,2,6,0,1,I rent,"$1,000-1,499",Doesn't apply,-2,3,4,0,0,3,1,1,1,3,Less than high school,7,4.0,4,2,100,1,Some college/Associate,Some college/Associate,0,0,0,0,0,0,0,0,1,0,0,0,0,Neither Active nor Veteran,18-24,Hispanic,0,5,Never married,1,<100% FPL,Pacific,1,0
33,6,6,6,39,28,0.6666666666666666,0.5555555555555556,3,2,2,0,2,2.5,3.75,2,3,1,0,I rent,"$1,500-1,999",Doesn't apply,-2,3,98,0,1,2,1,1,3,0,Graduate/professional degree,4,3.0,3,5,99,4,Graduate/professional degree,Graduate/professional degree,0,0,0,0,0,1,0,0,0,0,0,0,0,Neither Active nor Veteran,25-34,White - Non-Hispanic,1,2,Living with partner,1,200%+ FPL,South Atlantic,0,1
34,4,4,7,56,50,1.0,0.7777777777777778,5,4,4,0,4,3.75,4.75,1,2,0,0,I own my home,Less than $300,"$150,000-249,999",1,4,1,0,1,1,1,0,1,1,High school degree/GED,0,3.3333333333333335,4,4,65,2,Bachelors degree,High school degree/GED,1,0,1,0,1,0,0,0,0,0,0,0,0,Neither Active nor Veteran,35-44,White - Non-Hispanic,0,3,Divorced/Separated,1,200%+ FPL,East-North Central,0,1
35,6,7,7,38,43,0.6666666666666666,0.5555555555555556,5,5,5,0,4,3.25,1.75,2,2,0,0,I own my home,$750-999,"Less than $150,000",2,3,2,0,1,2,2,3,2,0,High school degree/GED,0,2.0,4,1,100,1,Some college/Associate,Some college/Associate,0,0,0,0,0,1,0,0,0,0,0,0,0,Veteran (veteran or retired),55-61,Black - Non-Hispanic,0,2,Married,1,100%-199% FPL,South Atlantic,1,0
36,6,6,5,77,57,1.0,0.8888888888888888,6,5,4,1,4,4.25,5.0,1,6,1,0,I own my home,Less than $300,"$400,000 or more",1,4,7,0,1,2,1,0,4,1,Graduate/professional degree,4,3.0,4,2,50,5,Bachelors degree,Some college/Associate,0,0,0,0,0,0,0,0,0,0,0,1,0,Neither Active nor Veteran,62-69,White - Non-Hispanic,0,2,Married,1,200%+ FPL,Pacific,0,1
37,7,7,7,57,76,1.0,0.7777777777777778,6,4,4,1,4,4.0,4.75,1,6,1,1,I own my home,$750-999,"$150,000-249,999",2,4,5,0,1,2,1,0,5,2,Bachelors degree,4,2.3333333333333335,4,1,100,5,Graduate/professional degree,Graduate/professional degree,0,0,0,2,0,1,0,0,0,0,0,0,0,Neither Active nor Veteran,45-54,White - Non-Hispanic,0,5,Married,1,200%+ FPL,South Atlantic,0,1
38,7,7,4,71,61,0.6666666666666666,0.7777777777777778,5,5,4,0,4,2.0,3.25,1,2,0,0,I own my home,"$2,000 or more","$400,000 or more",3,4,6,0,0,1,1,0,2,0,High school degree/GED,2,1.3333333333333333,4,1,95,2,Graduate/professional degree,Some college/Associate,0,0,0,0,0,0,0,0,0,0,0,1,0,Veteran (veteran or retired),62-69,White - Non-Hispanic,1,2,Married,1,200%+ FPL,Pacific,0,1
39,5,5,6,52,60,1.0,0.8888888888888888,5,5,4,1,3,4.0,4.25,1,4,1,0,I own my home,Less than $300,"$250,000-399,999",1,3,7,0,1,1,1,1,2,4,High school degree/GED,3,3.0,3,4,94,4,Bachelors degree,Some college/Associate,0,0,2,1,0,0,0,0,0,0,0,1,0,Neither Active nor Veteran,62-69,Other - Non-Hispanic,1,2,Divorced/Separated,1,200%+ FPL,East-South Central,1,1
40,5,5,5,51,39,0.6666666666666666,0.4444444444444444,5,4,2,1,3,3.5,3.25,1,3,1,0,I do not currently own or rent,$500-749,Doesn't apply,-2,2,5,0,0,3,1,0,3,4,Some college/Associate,2,2.6666666666666665,3,4,70,3,Bachelors degree,Bachelors degree,2,0,0,0,0,1,0,0,0,0,0,0,0,Neither Active nor Veteran,25-34,White - Non-Hispanic,1,4,Never married,1,100%-199% FPL,South Atlantic,0,0
41,4,4,7,30,61,1.0,0.6666666666666666,5,5,3,1,3,3.5,4.25,3,2,0,0,I own my home,"$1,500-1,999","$250,000-399,999",2,3,4,0,1,1,1,2,0,0,Bachelors degree,6,3.0,3,5,65,1,Bachelors degree,Bachelors degree,0,1,0,0,0,0,0,0,0,1,0,0,0,Neither Active nor Veteran,45-54,White - Non-Hispanic,0,2,Married,1,200%+ FPL,Mid-Atlantic,0,0
42,4,5,5,60,40,1.0,0.7777777777777778,4,4,3,1,3,3.0,3.5,1,3,1,0,I do not currently own or rent,$750-999,Doesn't apply,-2,3,99,0,1,3,2,1,3,1,Some college/Associate,5,2.6666666666666665,4,2,95,4,Some college/Associate,High school degree/GED,0,0,0,0,0,1,0,0,0,0,0,0,0,Neither Active nor Veteran,25-34,White - Non-Hispanic,0,3,Never married,1,200%+ FPL,East-North Central,0,0
43,5,4,5,34,60,1.0,0.8888888888888888,-1,5,3,0,3,3.5,4.5,2,3,-1,-1,I own my home,"$1,000-1,499","$150,000-249,999",2,4,4,0,1,1,2,2,0,1,Some college/Associate,7,3.6666666666666665,4,4,100,1,Some college/Associate,Some college/Associate,0,0,0,0,1,0,0,0,0,0,0,0,0,Neither Active nor Veteran,62-69,White - Non-Hispanic,0,1,Divorced/Separated,1,100%-199% FPL,Mountain,0,0
44,6,6,7,76,55,1.0,0.7777777777777778,5,5,5,0,4,3.25,5.0,1,5,1,0,I own my home,I dont know,"$400,000 or more",1,4,99,0,1,1,1,0,2,0,Graduate/professional degree,4,1.6666666666666667,3,2,100,5,Graduate/professional degree,Graduate/professional degree,0,0,0,0,0,0,0,0,0,0,0,1,0,Neither Active nor Veteran,75+,White - Non-Hispanic,0,2,Married,1,200%+ FPL,East-North Central,0,1
45,5,6,6,47,43,1.0,0.8888888888888888,5,4,4,0,3,3.75,3.5,2,2,1,0,I own my home,$750-999,"Less than $150,000",2,3,4,0,1,2,2,0,5,0,Some college/Associate,2,3.3333333333333335,3,4,100,1,Some college/Associate,Some college/Associate,0,0,0,0,0,1,0,0,0,0,0,0,0,Neither Active nor Veteran,45-54,White - Non-Hispanic,1,3,Married,0,200%+ FPL,Mountain,1,1
46,4,5,6,37,27,0.6666666666666666,0.4444444444444444,4,2,3,1,2,2.75,2.25,3,2,0,1,I rent,"$1,000-1,499",Doesn't apply,-2,3,2,0,0,1,1,3,2,4,Bachelors degree,4,3.6666666666666665,3,4,15,1,Bachelors degree,Bachelors degree,0,0,0,0,0,1,0,0,0,0,0,0,0,Neither Active nor Veteran,25-34,Hispanic,0,5,Divorced/Separated,1,<100% FPL,Pacific,1,0
47,6,6,5,71,64,1.0,0.8888888888888888,6,5,4,1,4,4.5,4.75,1,6,1,1,I own my home,"$2,000 or more","$150,000-249,999",-1,4,6,0,1,2,1,0,4,0,High school degree/GED,7,3.3333333333333335,3,2,100,4,Bachelors degree,High school degree/GED,0,0,0,0,0,1,0,0,0,0,0,0,0,Neither Active nor Veteran,55-61,White - Non-Hispanic,0,2,Divorced/Separated,1,200%+ FPL,West-North Central,0,1
48,4,7,7,47,49,0.3333333333333333,0.5555555555555556,5,5,4,1,3,4.0,4.75,2,5,0,1,I own my home,"$1,000-1,499","$150,000-249,999",1,3,5,0,1,3,2,2,2,1,Some college/Associate,7,3.0,4,4,85,4,Some college/Associate,Some college/Associate,0,0,0,0,0,1,0,0,0,0,0,0,0,Neither Active nor Veteran,25-34,Hispanic,0,3,Never married,1,200%+ FPL,East-North Central,0,1
49,5,5,4,43,55,1.0,1.0,6,4,3,1,2,4.0,3.25,2,5,1,0,I rent,"$2,000 or more",Doesn't apply,-2,3,3,0,1,3,2,3,3,5,Graduate/professional degree,3,2.0,3,4,100,3,Graduate/professional degree,Graduate/professional degree,1,0,0,2,0,1,0,0,0,0,0,0,0,Neither Active nor Veteran,45-54,Hispanic,1,5,Married,1,200%+ FPL,Pacific,0,1
50,5,6,5,50,41,1.0,0.5555555555555556,5,3,3,1,3,4.0,5.0,2,4,1,1,I own my home,"$2,000 or more",I dont know,98,3,99,0,0,2,2,0,1,1,Bachelors degree,2,4.0,3,4,70,2,Graduate/professional degree,Some college/Associate,0,0,0,1,1,0,0,0,0,0,0,1,0,Spouse/dependent Veteran,62-69,Hispanic,1,2,Married,1,200%+ FPL,New England,0,0
51,6,6,6,59,53,1.0,0.7777777777777778,5,5,4,1,4,3.5,3.75,1,6,1,1,I own my home,$300-499,"$250,000-399,999",1,4,5,0,1,1,1,0,2,0,High school degree/GED,5,2.6666666666666665,3,3,60,4,Graduate/professional degree,Graduate/professional degree,0,0,0,0,0,0,0,0,0,0,0,1,0,Neither Active nor Veteran,70-74,White - Non-Hispanic,1,1,Never married,1,200%+ FPL,East-North Central,0,0
52,7,6,6,61,56,1.0,0.6666666666666666,5,5,4,1,4,4.0,4.75,1,6,1,1,I rent,"$1,000-1,499",Doesn't apply,-2,4,7,0,1,1,1,0,3,1,Bachelors degree,4,2.0,5,4,80,4,Graduate/professional degree,Graduate/professional degree,2,2,0,0,0,1,0,0,0,0,0,0,0,Neither Active nor Veteran,35-44,White - Non-Hispanic,0,5,Married,1,200%+ FPL,Mountain,0,1
53,7,7,6,69,64,1.0,0.8888888888888888,6,5,4,1,3,4.5,4.75,1,6,1,0,I own my home,"$2,000 or more","$400,000 or more",3,4,5,0,1,2,1,0,4,2,Graduate/professional degree,0,2.6666666666666665,4,2,80,4,Some college/Associate,Graduate/professional degree,0,0,0,1,0,1,0,0,0,0,0,0,0,Neither Active nor Veteran,55-61,White - Non-Hispanic,0,2,Married,1,200%+ FPL,Mid-Atlantic,0,1
54,5,5,4,70,58,1.0,1.0,6,5,3,1,3,2.25,4.25,1,5,1,1,I own my home,"$2,000 or more","$400,000 or more",3,4,5,0,0,2,1,0,4,0,Less than high school,3,3.0,5,4,85,3,Bachelors degree,Bachelors degree,0,1,0,0,1,0,0,0,0,0,0,0,0,Neither Active nor Veteran,45-54,Other - Non-Hispanic,1,3,Married,0,200%+ FPL,West-South Central,1,1
55,6,4,4,42,45,1.0,0.5555555555555556,5,4,3,0,3,3.75,3.5,2,4,1,1,I rent,$300-499,Doesn't apply,-2,2,4,0,1,2,1,0,2,0,High school degree/GED,0,3.0,2,4,50,3,High school degree/GED,High school degree/GED,1,1,0,0,0,1,0,0,0,0,0,0,0,Neither Active nor Veteran,25-34,White - Non-Hispanic,1,4,Living with partner,1,200%+ FPL,East-North Central,1,1
56,7,5,6,73,53,1.0,0.6666666666666666,5,5,5,0,4,3.75,4.0,1,5,0,0,I own my home,Less than $300,"$150,000-249,999",1,4,6,0,1,1,1,0,5,0,Some college/Associate,2,3.3333333333333335,4,1,100,4,Some college/Associate,Some college/Associate,0,0,0,0,0,0,0,0,0,0,0,1,0,Veteran (veteran or retired),62-69,White - Non-Hispanic,0,2,Married,1,200%+ FPL,East-South Central,0,1
57,7,6,6,62,55,1.0,0.8888888888888888,5,4,4,1,3,3.5,4.5,1,5,0,1,I own my home,"$2,000 or more","$400,000 or more",3,4,7,0,0,3,1,0,3,4,Graduate/professional degree,5,3.3333333333333335,4,3,85,4,Graduate/professional degree,Graduate/professional degree,2,0,0,1,0,0,1,0,0,0,0,0,0,Neither Active nor Veteran,62-69,White - Non-Hispanic,0,5,Married,1,200%+ FPL,Mid-Atlantic,0,1
58,6,6,5,62,55,1.0,1.0,4,5,4,1,3,3.0,5.0,1,6,1,1,I own my home,Prefer not to say,Prefer not to say,99,3,99,0,1,2,2,1,2,0,Graduate/professional degree,6,1.3333333333333333,4,3,90,5,Graduate/professional degree,Graduate/professional degree,0,0,0,0,0,0,0,0,0,0,0,1,0,Neither Active nor Veteran,62-69,White - Non-Hispanic,1,3,Married,1,200%+ FPL,South Atlantic,0,1
59,5,6,7,52,56,1.0,0.8888888888888888,4,5,5,1,4,4.0,4.0,2,6,1,0,I own my home,$750-999,"Less than $150,000",2,4,6,0,1,1,1,0,4,0,Bachelors degree,4,3.0,3,5,60,4,Bachelors degree,Bachelors degree,0,0,0,0,0,1,0,0,0,0,0,0,0,Veteran (veteran or retired),35-44,White - Non-Hispanic,0,1,Never married,1,200%+ FPL,New England,0,1
60,7,7,7,63,61,1.0,0.8888888888888888,6,5,4,1,4,3.5,4.5,1,5,1,0,I own my home,"$2,000 or more","$250,000-399,999",3,4,7,0,1,2,1,0,4,2,Graduate/professional degree,2,2.0,5,4,50,4,Graduate/professional degree,Graduate/professional degree,1,1,0,0,0,1,0,0,0,0,0,0,0,Neither Active nor Veteran,35-44,White - Non-Hispanic,0,4,Married,1,200%+ FPL,Mid-Atlantic,0,1
